Mnc,RNCID,CellID,Lon,Lat,BSID
1,6271,11138581,121.209334,31.283857,1
1,6271,13073675,121.207419,31.283617,2
1,6154,13284373,121.2236542,31.29082332,3
1,6154,13284363,121.217453,31.290256,4
1,6271,10215967,121.209084,31.291985,5
1,6271,8889109,121.215639,31.294941,6
1,6271,8889110,121.212872,31.289217,7
1,6271,10216213,121.207605,31.285626,8
1,6271,10781195,121.2132,31.28892,9
1,6154,10482955,121.222512,31.288093,10
1,6271,10589993,121.211167,31.286873,11
1,6271,10781225,121.213284,31.290652,12
1,6154,8992011,121.212183,31.282226,13
1,6154,10482975,121.216212,31.285069,14
1,6271,10590003,121.212498,31.287892,15
1,6154,10109983,121.21832,31.293774,16
1,6271,10215957,121.220836,31.292635,17
1,6271,8889099,121.213164,31.298206,18
1,6271,8889119,121.207687,31.286269,19
1,6271,10406933,121.19422,31.295261,20
1,6271,10216223,121.204184,31.288276,21
1,6271,10216203,121.205262,31.289276,22
1,6271,10216214,121.206159,31.284856,23
1,6271,10216204,121.200898,31.289424,24
1,6271,8889120,121.207916,31.291125,25
1,6271,13073685,121.208188,31.281801,26
1,6271,10830623,121.214963,31.292111,27
1,6271,8889100,121.208883,31.293594,28
1,6271,13587723,121.197284,31.296279,29
1,6271,11640853,121.214932,31.289345,30
1,6391,12630531,121.218115,31.293015,31
1,6271,10589964,121.209717,31.287821,32
1,6271,10589963,121.209325,31.288302,33
1,6271,10590033,121.209726,31.288115,34
1,6271,10589973,121.211943,31.287902,35
1,6271,185624597,121.211195,31.288551,36
1,6271,185624657,121.211038,31.288378,37
1,6154,185624391,121.212847,31.286351,38
1,6271,11640863,121.215413,31.291321,39
